Project No.;Deposit No.;Company Name;Project Name;Location;Continent;" Status (2022), 1: Exploration/ Define resource; 2: Feasibility/ Pre-feasibility; 3: Construction; 4: Production; S: Suspending mining; T: Test of Metallurgical; D: Development licence; N: Not Use";Deposit type;Resource (*10^4 t, REO, Total);Grade (wt. %);La2O3;Ce2O3;Pr6O11;Nd2O3;Sm2O3;Eu2O3;Gd2O3;Tb4O7;Dy2O3;Ho2O3;Er2O3;Tm2O3;Yb2O3;Lu2O3;Y2O3;HREE percentage;REE pattern Ref.;Project and status Ref.;Deposit type Ref.;Resource and grade Ref.;
1;1;Lynas Rare Earths;Mount Weld;Mount Weld, Australia;Australia;4;Carbonatite;300;5,4;24,11212582;45,66210046;5,073566717;18,07458143;2,524099442;0,583460173;1,293759513;0,139523085;0,481988838;0,063419584;0,139523085;0,012683917;0,063419584;0;1,775748351;3,970065956;Paulick and Machacek ,2017;Lynas, Annual Report 2021, https://lynasrareearths.com/wp-content/uploads/2021/10/LYC_AR21.pdf;Lynas, Lynas Rare Earths Limited CLSA Exploration Access Day, 2022, https://wcsecure.weblink.com.au/pdf/LYC/02528273.pdf;Lynas, Lynas Rare Earths Limited CLSA Exploration Access Day, 2022, https://wcsecure.weblink.com.au/pdf/LYC/02528273.pdf;
2;2;MP Materials;Mountain Pass;Central Mojave Desert, California, America;North America;4;Carbonatite;418,3;8,9;33,20134024;49,10143162;4,294852269;12,0012184;0,807188547;0,106609808;0,197989644;0,06091989;0,045689918;0,015229973;0,015229973;0,015229973;0,015229973;0,015229973;0,106609808;0,487359123;Paulick and Machacek ,2017;https://mpmaterials.com/about/;Long, K.R., Van Gosen, B.S., Foley, N.K., and Cordier, Daniel, 2010, The principal rare earth elements deposits of the United States—A summary of domestic deposits and a global perspective: U.S. Geological Survey Scientific Investigations Report 2010–5220, 96 p. Available at http://pubs.usgs.gov/sir/2010/5220/.;Long, K.R., Van Gosen, B.S., Foley, N.K., and Cordier, Daniel, 2010, The principal rare earth elements deposits of the United States—A summary of domestic deposits and a global perspective: U.S. Geological Survey Scientific Investigations Report 2010–5220, 96 p. Available at http://pubs.usgs.gov/sir/2010/5220/.;
3;3;Iluka Resources Limited;Eneabba;Eneabba, Western Australia, Australia;Australia;4;Placer;7,29;0,09;23,3358923;45,80451814;4,063304028;14,21353385;2,502545588;0;1,597376358;0;0,909987376;0,112744641;0,478281399;0,067454059;0,439415013;0,052035988;6,422911253;10,08020609;Jaireth et al., 2014, OGR;ILUKA, ENEABBA MINERAL SANDS RECOVERY PROJECT ORE RESERVE ESTIMATE,2020, https://iluka.com/CMSPages/GetFile.aspx?guid=c9d5a86b-029e-47b7-873c-a88fd4f26123;ILUKA, ENEABBA MINERAL SANDS RECOVERY PROJECT ORE RESERVE ESTIMATE,2020, https://iluka.com/CMSPages/GetFile.aspx?guid=c9d5a86b-029e-47b7-873c-a88fd4f26123;ILUKA, ENEABBA MINERAL SANDS RECOVERY PROJECT ORE RESERVE ESTIMATE,2020, https://iluka.com/CMSPages/GetFile.aspx?guid=c9d5a86b-029e-47b7-873c-a88fd4f26123;
4;4;;WIM100 (Wimmera、Mallee);Wimmera & Mallee,Western Australia, Australia;Australia;2;Placer;;;;;;;;;;;;;;;;;;;;https://iluka.com/operations-resource-development/resource-development/wimmera;https://iluka.com/operations-resource-development/resource-development/wimmera;;
5;5;Australian Strategic Materials;Dubbo (Toongi);Dubbo, New South Wales, Australia;Australia;4(2022);Alkaline rock;55,63;0,74;19,57255343;36,89538808;4,049493813;14,17322835;2,137232846;0,112485939;2,137232846;0,337457818;2,024746907;0,337457818;1,124859393;0,112485939;1,012373453;0,112485939;15,86051744;23,05961755;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://asm-au.com/dubbo-project-overview/resources-and-reserves/;Spandler, C., & Morris, C. (2016). Geology and genesis of the Toongi rare metal (Zr, Hf, Nb, Ta, Y and REE) deposit, NSW, Australia, and implications for rare metal mineralization in peralkaline igneous rocks. Contributions to Mineralogy and Petrology, 171(12), 1-24.;Australian Strategic Materials, Annual Report 2021, https://www.asx.com.au/asxpdf/20211022/pdf/45203ydmw38kk0.pdf;
6;6;Greenland Minerals Limited;Kvanefjeld (Ilimaussaq:Kvanefjeld, Zone 3, Sørensen);Narsaq, Greenland;Greenland;2;Alkaline rock;1114;1,1;27,68518519;42,40740741;4,074074074;12,40740741;1,574074074;0,092592593;1,111111111;0,185185185;1,111111111;0,185185185;0,555555556;0,092592593;0,462962963;0,185185185;7,87037037;11,75925926;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://ggg.gl/project/geology-and-resource/；Positioning Greenland To Be A Major International Rare Earth Supplier;https://ggg.gl/project/geology-and-resource/;Greenland Minerals Limited, Positioning Greenland To Be A Major International Rare Earth Supplier ASX: GGG PDAC – 202, 2020, https://ggg.gl/mineral-resources-and-ore-reserves/;
7;7;Pensana Rare Earths Plc;Coola;Longonjo, Angola;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Pensana Plc, interim results for the six months ended 31 December 2020, https://pensana.co.uk/wp-content/uploads/2021/04/Pensana-HYR-31-Dec-2020-Interims-for-release_FINAL.pdf;Pensana Rare Earths Plc, LSE Admission July 2020, https://pensana.co.uk/wp-content/uploads/2020/08/LSE_Admission_July2020.pdf;;
8;8;;Longonjo;Longonjo, Angola;Africa;1, 3(2021), 4(2022);Carbonatite;447;1,43;23,93;45,86;4,94;17,16;2,48;0,58;1,23;0,13;0,6;0,09;0,21;0,02;0,11;0,02;2,63;5,04;Preliminary Feasibility Study, 2019.11.15;Pensana Rare Earths Plc, LSE Admission July 2020, https://pensana.co.uk/wp-content/uploads/2020/08/LSE_Admission_July2020.pdf；Commencing development of the world’s first Freeport rare earth processing hub;Pensana Rare Earths Plc, LSE Admission July 2020, https://pensana.co.uk/wp-content/uploads/2020/08/LSE_Admission_July2020.pdf;Pensana Plc, interim results for the six months ended 31 December 2020, https://pensana.co.uk/wp-content/uploads/2021/04/Pensana-HYR-31-Dec-2020-Interims-for-release_FINAL.pdf;
9;9;Chemours;Georgia;Southeastern America;North America;4;Placer;;;;;;;;;;;;;;;;;;;;https://www.energyfuels.com/2021-07-07-Energy-Fuels-and-Neo-Performance-Materials-Announce-Contract-Signing-and-Launch-of-Commercial-Shipments-of-Rare-Earth-Product-to-Europe-in-Emerging-U-S-Based-Rare-Earth-Supply-Chain;https://www.energyfuels.com/2021-07-07-Energy-Fuels-and-Neo-Performance-Materials-Announce-Contract-Signing-and-Launch-of-Commercial-Shipments-of-Rare-Earth-Product-to-Europe-in-Emerging-U-S-Based-Rare-Earth-Supply-Chain;;
10;10;Energy Fuels;Bahia Project;Bahia, Brazil ;South America;1;Placer;;;;;;;;;;;;;;;;;;;;https://www.energyfuels.com/2022-05-19-Energy-Fuels-Secures-Major-Rare-Earth-Land-Position-in-Brazil#assets_all;https://www.energyfuels.com/2022-05-19-Energy-Fuels-Secures-Major-Rare-Earth-Land-Position-in-Brazil#assets_all;;
